X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,Latitude,Longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-104.753342,39.6293640000001,15,04Z692,101 HOME CARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,720-336-0106,ARAPAHOE,"4791 S HIMALAYA CT, AURORA, CO 80015",39.629364,-104.753342,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.753342,39.6293640000001,16,04B859,101 HOME CARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-336-0106,ARAPAHOE,"4791 S HIMALAYA CT, AURORA, CO 80015",39.629364,-104.753342,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.629379,38.0847660000001,17,05X758,12TH STREET,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,5,719-336-1068,PROWERS,"500 S 12TH STREET, LAMAR, CO 81052",38.084766,-102.629379,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.762444,39.9998400000001,18,10XYTN,143 DD HOST HOMES LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,773-983-4114,ADAMS,"685 MILLET CIRCLE, BRIGHTON, CO 80601",39.9998399999999,-104.762444,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.734924,38.324306,19,0506AT,198 E GALATEA,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"198 E GALATEA DR, PUEBLO WEST, CO 81007",38.324306,-104.734924,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.850563,39.6595730000001,20,041M93,1ST CALL TO CARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,720-607-5608,ARAPAHOE,"3138 S PARKER RD, AURORA, CO 80014",39.659573,-104.850562999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.850563,39.6595730000001,21,04YUV2,1ST CALL TO CARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-607-5608,ARAPAHOE,"3138 S PARKER RD, AURORA, CO 80014",39.659573,-104.850562999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.863495,39.6747130000001,22,10G511,1ST CHOICE LIFE SKILLS ACADEMY LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,615-635-3492,ARAPAHOE,"10770 EAST ILIFF AVE, AURORA, CO 80014",39.6747129999999,-104.863495,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.113029,39.5780980000001,23,04G415,1ST PREMIER HOME CARE INC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,303-968-1715,JEFFERSON,"7609 S WAVERLY MTN, LITTLETON, CO 80127",39.5780979999999,-105.113028999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.113029,39.5780980000001,24,04V729,1ST PREMIER HOME CARE INC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,303-968-1715,JEFFERSON,"7609 S WAVERLY MTN, LITTLETON, CO 80127-3923",39.5780979999999,-105.113028999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.613146,38.085177,25,05A938,1ST STREET FACILITY,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,5,719-336-3244,PROWERS,"501 1ST ST, LAMAR, CO 81052-",38.085177,-102.613146,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.050652,39.8550260000001,26,04R5BF,1ST SUPPORT IN-HOME CARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,ADAMS,"8753 YATES DR STE 220I, WESTMINSTER, CO 80031",39.855026,-105.050651999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.050652,39.8550260000001,27,04WZDS,1ST SUPPORT IN-HOME CARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-588-8177,ADAMS,"8753 YATES DR STE 220I, WESTMINSTER, CO 80031-",39.855026,-105.050651999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.082817,39.697617,28,04YUJG,1ST VOYAGER HOME CARE OF DENVER LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,JEFFERSON,"1075 S YUKON ST  STE 200, LAKEWOOD, CO 80226",39.697617,-105.082817,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.082817,39.697617,29,04Y5XV,1ST VOYAGER HOME CARE OF DENVER LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,719-400-2222,JEFFERSON,"1075 S YUKON ST STE 200, LAKEWOOD, CO 80226",39.697617,-105.082817,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.755539,38.8650020000001,30,04S211,1ST VOYAGER HOME HEALTH CARE,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,719-722-4516,EL PASO,"2233 ACADEMY PL  STE 105, COLORADO SPRINGS, CO 80909",38.8650019999999,-104.755538999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.755539,38.8650020000001,31,04Y680,1ST VOYAGER HOME HEALTH CARE,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,719-722-4516,EL PASO,"2233 ACADEMY PLACE  STE 105, COLORADO SPRINGS, CO 80909",38.8650019999999,-104.755538999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.755539,38.8650020000001,32,04D465,1ST VOYAGER HOME HEALTH CARE,051,Home Health Agency,Home Health,Home Health Agency (Medicare/Medicaid),HHA-1819,0,719-400-2222,EL PASO,"2233 ACADEMY PL  STE 105, COLORADO SPRINGS, CO 80909",38.8650019999999,-104.755538999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.754941,38.8649810000001,33,10Y689,1ST VOYAGER HOME HEALTH CARE,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,719-722-4516,EL PASO,"2233 ACADEMY PL  105, COLORADO SPRINGS, CO 80909",38.864981,-104.754941,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.839735,39.6744210000001,34,04NHN1,24 CARET HOME CARE AGENCY,05C,Home Care Agency,Home Health,Home Care Agency (Licensed Only),HCA-LIC,0,303-377-0370,ARAPAHOE,"2323 S TROY ST STE 4-180 AURORA, CO 80014",39.674421,-104.839735,yes,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.776962,38.847134,35,0453V7,24/7 CARE OF COLORADO LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,719-259-6770,EL PASO,"2720 E YAMPA ST STE #6, COLORADO SPRINGS, CO 80909",38.8471339999999,-104.776961999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.896002,39.633495,36,04Q176,247 AVARE HEALTHCARE,051,Home Health Agency,Home Health,Home Health Agency (Medicare/Medicaid),HHA-1819,0,303-247-1111,DENVER,"8055 E TUFTS AVE #250 DENVER, CO 80237",39.633495,-104.896001999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.751976,38.310234,37,0506Z9,268 HARMONY DRIVE,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"268 HARMONY DR, PUEBLO WEST, CO 81007",38.310234,-104.751975999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.752129,38.310326,38,0506H7,272 HARMONY DRIVE,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"272 HARMONY DR, PUEBLO WEST, CO 81007",38.310326,-104.752128999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.510056,39.088829,39,0511BW,29 AND ONE QUARTER ROAD GROUP HOME GJRC,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,970-245-7376,MESA,"577 29-1/4 RD, GRAND JUNCTION, CO 81504",39.0888289999999,-108.510056,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.863518,39.6747130000001,40,10R289,2ND HOME ADULT DAY SERVICE CENTER OF AURORA LLC,S22,All Other Factypes,Adult Day Care Facility,Adult Day Care,ADAY,0,303-999-7763,ARAPAHOE,"10730 EAST ILIFF AVE, AURORA, CO 80014",39.6747129999999,-104.863517999999,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.847084,39.6617620000001,41,10WUS1,2ND HOME AUDLT COMMUNITY CENTER LLC,S22,All Other Factypes,Adult Day Care Facility,Adult Day Care,ADAY,0,720-527-4522,ARAPAHOE,"2990 S PEORIA ST, AURORA, CO 80014",39.661762,-104.847083999999,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.82814,39.694199,42,10T6GC,"2ND HOME COMMUNITY - ABILENE, LLC",S22,All Other Factypes,Adult Day Care Facility,Adult Day Care,ADAY,0,303-999-7763,ARAPAHOE,"1200 S ABILENE RD  UNIT C, AURORA, CO 80012",39.6941989999999,-104.82814,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.154465,40.151844,43,106TM8,2ND HOME COMMUNITY - LONGMONT LLC,S22,All Other Factypes,Adult Day Care Facility,Adult Day Care,ADAY,0,303-999-7763,BOULDER,"600 S AIRPORT RD, LONGMONT, CO 80503",40.1518439999999,-105.154465,no,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.850563,39.6595730000001,44,10KU0K,2ND HOME COMMUNITY CENTER LLC,S22,All Other Factypes,Adult Day Care Facility,Adult Day Care,ADAY,0,720-990-0922,ARAPAHOE,"3138 S PARKER RD, AURORA, CO 80014",39.659573,-104.850562999999,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.83699,39.6594200000001,45,046V67,2ND HOME SKILLED CARE SERVICES LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,ARAPAHOE,"3131 S VAUGHN WAY STE 600C, AURORA, CO 80014",39.6594199999999,-104.83699,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.83699,39.6594200000001,46,045A7J,2ND HOME SKILLED CARE SERVICES LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,,ARAPAHOE,"3131 S VAUGHN WAY STE 600C, AURORA, CO 80014",39.6594199999999,-104.83699,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.83699,39.6594200000001,47,04Z0H9,2ND HOME SKILLED CARE SERVICES LLC,051,Home Health Agency,Home Health,Home Health Agency (Medicare/Medicaid),HHA-1819,0,720-471-5425,ARAPAHOE,"3131 S VAUGHN WAY STE 600C, AURORA, CO 80014",39.6594199999999,-104.83699,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.83699,39.6594200000001,48,10VP4K,2ND HOME SKILLED CARE SERVICES LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,,ARAPAHOE,"3131 S VAUGHN WAY STE 600, AURORA, CO 80014",39.6594199999999,-104.83699,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.857025,39.696697,49,04T1U4,2UPLIFT HOMECARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,720-313-0149,ARAPAHOE,"11275 E MISSISSIPPI AVE STE 1W1, AURORA, CO 80012",39.696697,-104.857024999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.857077,39.6972010000001,50,04AND6,2UPLIFT HOMECARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-313-0149,ARAPAHOE,"11275 E MISSISSIPPI AVE  STW 1W1, AURORA, CO 80012",39.697201,-104.857077,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.988213,39.5538790000001,51,04LVGW,3 DOVES HOME HEALTHCARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,DOUGLAS,"209 SOUTHPARK RD, HIGHLANDS RANCH, CO 80126",39.553879,-104.988213,yes,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.988213,39.5538790000001,52,04T8JU,3 DOVES HOME HEALTHCARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,,DOUGLAS,"209 SOUTHPARK RD, HIGHLANDS RANCH, CO 80126",39.553879,-104.988213,yes,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.988213,39.5538790000001,53,04U8HD,3 DOVES HOME HEALTHCARE LLC,05A,Home Health Agency,Home Health,Home Health Agency (Cert Eligible),HHA-LCE,0,720-499-4410,DOUGLAS,"209 SOUTHPARK RD, HIGHLANDS RANCH, CO 80126",39.553879,-104.988213,yes,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.496475,39.0655860000001,54,0511RU,30 ROAD GROUP HOME GJRC,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,970-434-3629,MESA,"418 30 ROAD, GRAND JUNCTION, CO 81504",39.065586,-108.496475,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.816216,39.504059,55,04S299,303 HOMECARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,303-210-0070,DOUGLAS,"14966 MELCO AVE, PARKER, CO 80134",39.5040589999999,-104.816215999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.816216,39.504059,56,04C453,303 HOMECARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,303-805-7676,DOUGLAS,"14966 MELCO AVE, PARKER, CO 80134",39.5040589999999,-104.816215999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.730472,38.322212,57,0506UI,330 E HAHNS PEAK,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"330 E HAHNS PEAK, PUEBLO WEST, CO 81007",38.322212,-104.730472,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.895706,39.695164,58,04D01U,4 BEST HEALTH CARE LLC,05C,Home Care Agency,Home Health,Home Care Agency (Licensed Only),HCA-LIC,0,720-451-9748,ARAPAHOE,"1200 S PARKER RD STE 210, DENVER, CO 80231",39.6951639999999,-104.895706,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.019287,39.5745160000001,59,10W352,"4 OUR KIDS, LLC",S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,303-324-3579,ARAPAHOE,"2783 W LONG DR E, LITTLETON, CO 80120",39.574516,-105.019287,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.721214,38.311176,60,0506Q3,416 E MAHER DR,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"416 E MAHER DR, PUEBLO WEST, CO 81007",38.311176,-104.721214,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.716461,38.315769,61,0506CR,496 S LATIMER,S41,All Other Factypes,Group Home,Residential Care Facility for the Developmentally Disabled,RCF-DD,8,719-585-4001,PUEBLO,"496 S LATIMER DR, PUEBLO WEST, CO 81007",38.315769,-104.716460999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.167419,39.7860600000001,62,06Y390,49TH HOUSE,111,All Other Factypes,Intermediate Care Facility,Intermediate Care Facility for Individuals with Intellectual Disabilities,ICF/IID,8,303-463-2657,JEFFERSON,"15038 W 49TH PLACE, GOLDEN, CO 80403",39.7860599999999,-105.167418999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.723892,39.623207,63,10C487,4ABILITIES LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,303-518-0865,ARAPAHOE,"5105 S VALDAI ST, AURORA, CO 80015",39.623207,-104.723892,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.760567,39.6708790000001,64,10N659,4EVERCARE LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,303-956-1734,ARAPAHOE,"2575 S FUNDY CIR, AURORA, CO 80013",39.6708789999999,-104.760566999999,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.757393,38.862129,65,10N227,5 GOLD STAR CARE,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,719-419-7977,EL PASO,"2020 N ACADEMY BLVD, COLORADO SPRINGS, CO 80909",38.862129,-104.757392999999,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.026375,39.6532250000001,66,04V787,5280 ELEVATED HOME CARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,303-717-8037,ARAPAHOE,"3108 W HAMPDEN AVE UNIT G, ENGLEWOOD, CO 80110",39.6532249999999,-105.026375,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.026375,39.6532250000001,67,04Y640,5280 ELEVATED HOME CARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,303-717-8037,ARAPAHOE,"3108 W HAMPDEN AVE UNIT G, ENGLEWOOD, CO 80110",39.6532249999999,-105.026375,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.026375,39.6532250000001,68,04D7XD,5280 ELEVATED HOME CARE LLC,05A,Home Health Agency,Home Health,Home Health Agency (Cert Eligible),HHA-LCE,0,303-717-8037,ARAPAHOE,"3108 W HAMPDEN AVE STE G, ENGLEWOOD, CO 80110",39.6532249999999,-105.026375,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.863426,39.6688310000001,69,04E472,5280 HOME CARE & ATTENDANT SERVICES INC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,720-552-8080,ARAPAHOE,"2600 S PARKER RD SUITE 7-372, AURORA, CO 80014",39.6688309999999,-104.863426,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.863426,39.6688310000001,70,04K607,5280 HOME CARE & ATTENDANT SERVICES INC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-552-8080,ARAPAHOE,"2600 S PARKER RD STE 7-372, AURORA, CO 80014",39.6688309999999,-104.863426,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.012367,39.792923,71,06G124,53RD STREET,111,All Other Factypes,Intermediate Care Facility,Intermediate Care Facility for Individuals with Intellectual Disabilities,ICF/IID,8,303-463-2691,ADAMS,"2095 W 53RD AVE, DENVER, CO 80221",39.792923,-105.012366999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
